Year,Commodity,Value_A$m,TradeType
2017,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1180,Exports
2018,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1346,Exports
2019,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1532,Exports
2020,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1590,Exports
2021,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1663,Exports
2022,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1768,Exports
2023,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1686,Exports
2024,"55 Essential oils and resinoids and perfume materials; toilet, polishing and cleansing preparations ;",1709,Exports
2014,56 Fertilisers (excl. those of group 272) ;,242,Exports
2015,56 Fertilisers (excl. those of group 272) ;,363,Exports
2016,56 Fertilisers (excl. those of group 272) ;,369,Exports
2017,56 Fertilisers (excl. those of group 272) ;,265,Exports
2018,56 Fertilisers (excl. those of group 272) ;,320,Exports
2019,56 Fertilisers (excl. those of group 272) ;,262,Exports
2020,56 Fertilisers (excl. those of group 272) ;,330,Exports
2021,56 Fertilisers (excl. those of group 272) ;,490,Exports
2022,56 Fertilisers (excl. those of group 272) ;,731,Exports
2023,56 Fertilisers (excl. those of group 272) ;,338,Exports
2024,56 Fertilisers (excl. those of group 272) ;,437,Exports
2014,57 Plastics in primary forms ;,331,Exports
2015,57 Plastics in primary forms ;,364,Exports
2016,57 Plastics in primary forms ;,315,Exports
2017,57 Plastics in primary forms ;,339,Exports
2018,57 Plastics in primary forms ;,298,Exports
2019,57 Plastics in primary forms ;,328,Exports
2020,57 Plastics in primary forms ;,232,Exports
2021,57 Plastics in primary forms ;,368,Exports
2022,57 Plastics in primary forms ;,303,Exports
2023,57 Plastics in primary forms ;,277,Exports
2024,57 Plastics in primary forms ;,295,Exports
2014,58 Plastics in non-primary forms ;,345,Exports
2015,58 Plastics in non-primary forms ;,376,Exports
2016,58 Plastics in non-primary forms ;,418,Exports
2017,58 Plastics in non-primary forms ;,443,Exports
2018,58 Plastics in non-primary forms ;,443,Exports
2019,58 Plastics in non-primary forms ;,397,Exports
2020,58 Plastics in non-primary forms ;,311,Exports
2021,58 Plastics in non-primary forms ;,345,Exports
2022,58 Plastics in non-primary forms ;,451,Exports
2023,58 Plastics in non-primary forms ;,385,Exports
2024,58 Plastics in non-primary forms ;,412,Exports
2014,"59 Chemical materials and products, nes ;",1029,Exports
2015,"59 Chemical materials and products, nes ;",1049,Exports
2016,"59 Chemical materials and products, nes ;",1065,Exports
2017,"59 Chemical materials and products, nes ;",1072,Exports
2018,"59 Chemical materials and products, nes ;",1185,Exports
2019,"59 Chemical materials and products, nes ;",1225,Exports
2020,"59 Chemical materials and products, nes ;",1325,Exports
2021,"59 Chemical materials and products, nes ;",1474,Exports
2022,"59 Chemical materials and products, nes ;",2007,Exports
2023,"59 Chemical materials and products, nes ;",1643,Exports
2024,"59 Chemical materials and products, nes ;",1724,Exports
2014,6 Manufactured goods classified chiefly by material ;,15366,Exports
2015,6 Manufactured goods classified chiefly by material ;,14714,Exports
2016,6 Manufactured goods classified chiefly by material ;,13406,Exports
2017,6 Manufactured goods classified chiefly by material ;,14749,Exports
2018,6 Manufactured goods classified chiefly by material ;,17031,Exports
2019,6 Manufactured goods classified chiefly by material ;,17567,Exports
2020,6 Manufactured goods classified chiefly by material ;,14708,Exports
2021,6 Manufactured goods classified chiefly by material ;,16703,Exports
2022,6 Manufactured goods classified chiefly by material ;,19431,Exports
2023,6 Manufactured goods classified chiefly by material ;,19357,Exports
2024,6 Manufactured goods classified chiefly by material ;,20559,Exports
2014,"61 Leather, leather manufactures, nes, and dressed furskins ;",241,Exports
2015,"61 Leather, leather manufactures, nes, and dressed furskins ;",252,Exports
2016,"61 Leather, leather manufactures, nes, and dressed furskins ;",184,Exports
2017,"61 Leather, leather manufactures, nes, and dressed furskins ;",166,Exports
2018,"61 Leather, leather manufactures, nes, and dressed furskins ;",166,Exports
2019,"61 Leather, leather manufactures, nes, and dressed furskins ;",141,Exports
2020,"61 Leather, leather manufactures, nes, and dressed furskins ;",112,Exports
2021,"61 Leather, leather manufactures, nes, and dressed furskins ;",160,Exports
2022,"61 Leather, leather manufactures, nes, and dressed furskins ;",148,Exports
2023,"61 Leather, leather manufactures, nes, and dressed furskins ;",109,Exports
2024,"61 Leather, leather manufactures, nes, and dressed furskins ;",112,Exports
2014,"62 Rubber manufactures, nes ;",208,Exports
2015,"62 Rubber manufactures, nes ;",242,Exports
2016,"62 Rubber manufactures, nes ;",246,Exports
2017,"62 Rubber manufactures, nes ;",294,Exports
2018,"62 Rubber manufactures, nes ;",307,Exports
2019,"62 Rubber manufactures, nes ;",325,Exports
2020,"62 Rubber manufactures, nes ;",260,Exports
2021,"62 Rubber manufactures, nes ;",257,Exports
2022,"62 Rubber manufactures, nes ;",363,Exports
2023,"62 Rubber manufactures, nes ;",397,Exports
2024,"62 Rubber manufactures, nes ;",333,Exports
2014,63 Cork and wood manufactures (excl. furniture) ;,101,Exports
2015,63 Cork and wood manufactures (excl. furniture) ;,103,Exports
2016,63 Cork and wood manufactures (excl. furniture) ;,111,Exports
2017,63 Cork and wood manufactures (excl. furniture) ;,115,Exports
2018,63 Cork and wood manufactures (excl. furniture) ;,97,Exports
2019,63 Cork and wood manufactures (excl. furniture) ;,108,Exports
2020,63 Cork and wood manufactures (excl. furniture) ;,103,Exports
2021,63 Cork and wood manufactures (excl. furniture) ;,96,Exports
2022,63 Cork and wood manufactures (excl. furniture) ;,96,Exports
2023,63 Cork and wood manufactures (excl. furniture) ;,98,Exports
2024,63 Cork and wood manufactures (excl. furniture) ;,98,Exports
2014,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",985,Exports
2015,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",1003,Exports
2016,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",984,Exports
2017,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",1013,Exports
2018,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",1145,Exports
2019,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",1094,Exports
2020,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",934,Exports
2021,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",948,Exports
2022,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",1014,Exports
2023,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",888,Exports
2024,"64 Paper, paperboard and articles of paper pulp, of paper or of paperboard ;",894,Exports
2014,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",238,Exports
2015,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",282,Exports
2016,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",268,Exports
2017,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",274,Exports
2018,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",273,Exports
2019,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",305,Exports
2020,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",276,Exports
2021,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",333,Exports
2022,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",356,Exports
2023,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",364,Exports
2024,"65 Textile yarn, fabrics, made-up articles nes, and related products ;",392,Exports
2014,"66 Non-metallic mineral manufactures, nes ;",930,Exports
2015,"66 Non-metallic mineral manufactures, nes ;",1080,Exports
2016,"66 Non-metallic mineral manufactures, nes ;",1060,Exports
2017,"66 Non-metallic mineral manufactures, nes ;",902,Exports
2018,"66 Non-metallic mineral manufactures, nes ;",927,Exports
2019,"66 Non-metallic mineral manufactures, nes ;",1005,Exports
2020,"66 Non-metallic mineral manufactures, nes ;",736,Exports
2021,"66 Non-metallic mineral manufactures, nes ;",570,Exports
2022,"66 Non-metallic mineral manufactures, nes ;",604,Exports
2023,"66 Non-metallic mineral manufactures, nes ;",854,Exports
2024,"66 Non-metallic mineral manufactures, nes ;",591,Exports
2014,67 Iron and steel ;,676,Exports
2015,67 Iron and steel ;,680,Exports
2016,67 Iron and steel ;,602,Exports
2017,67 Iron and steel ;,917,Exports
2018,67 Iron and steel ;,1029,Exports
2019,67 Iron and steel ;,1217,Exports
2020,67 Iron and steel ;,920,Exports
2021,67 Iron and steel ;,793,Exports
2022,67 Iron and steel ;,1340,Exports
2023,67 Iron and steel ;,1256,Exports
2024,67 Iron and steel ;,1328,Exports
2014,68 Non-ferrous metals ;,10909,Exports
2015,68 Non-ferrous metals ;,10002,Exports
2016,68 Non-ferrous metals ;,8842,Exports
2017,68 Non-ferrous metals ;,9957,Exports
2018,68 Non-ferrous metals ;,11823,Exports
2019,68 Non-ferrous metals ;,11999,Exports
2020,68 Non-ferrous metals ;,10215,Exports
2021,68 Non-ferrous metals ;,12328,Exports
2022,68 Non-ferrous metals ;,14078,Exports
2023,68 Non-ferrous metals ;,13950,Exports
2024,68 Non-ferrous metals ;,15335,Exports
2014,"69 Manufactures of metals, nes ;",1078,Exports
2015,"69 Manufactures of metals, nes ;",1072,Exports
2016,"69 Manufactures of metals, nes ;",1107,Exports
2017,"69 Manufactures of metals, nes ;",1114,Exports
2018,"69 Manufactures of metals, nes ;",1265,Exports
2019,"69 Manufactures of metals, nes ;",1372,Exports
2020,"69 Manufactures of metals, nes ;",1154,Exports
2021,"69 Manufactures of metals, nes ;",1220,Exports
2022,"69 Manufactures of metals, nes ;",1430,Exports
2023,"69 Manufactures of metals, nes ;",1442,Exports
2024,"69 Manufactures of metals, nes ;",1478,Exports
2014,7 Machinery and transport equipment ;,14709,Exports
2015,7 Machinery and transport equipment ;,16038,Exports
2016,7 Machinery and transport equipment ;,15387,Exports
2017,7 Machinery and transport equipment ;,14638,Exports
2018,7 Machinery and transport equipment ;,15352,Exports
2019,7 Machinery and transport equipment ;,16992,Exports
2020,7 Machinery and transport equipment ;,14678,Exports
2021,7 Machinery and transport equipment ;,14728,Exports
2022,7 Machinery and transport equipment ;,16516,Exports
2023,7 Machinery and transport equipment ;,18604,Exports
2024,7 Machinery and transport equipment ;,20549,Exports
2014,71 Power generating machinery and equipment ;,915,Exports
2015,71 Power generating machinery and equipment ;,998,Exports
2016,71 Power generating machinery and equipment ;,872,Exports
2017,71 Power generating machinery and equipment ;,742,Exports
2018,71 Power generating machinery and equipment ;,939,Exports
2019,71 Power generating machinery and equipment ;,1064,Exports
2020,71 Power generating machinery and equipment ;,1068,Exports
2021,71 Power generating machinery and equipment ;,872,Exports
2022,71 Power generating machinery and equipment ;,1027,Exports
2023,71 Power generating machinery and equipment ;,1303,Exports
2024,71 Power generating machinery and equipment ;,1380,Exports
2014,72 Machinery specialized for particular industries ;,1988,Exports
2015,72 Machinery specialized for particular industries ;,1938,Exports
2016,72 Machinery specialized for particular industries ;,1872,Exports
2017,72 Machinery specialized for particular industries ;,1886,Exports
2018,72 Machinery specialized for particular industries ;,1833,Exports
2019,72 Machinery specialized for particular industries ;,1961,Exports
2020,72 Machinery specialized for particular industries ;,1769,Exports
2021,72 Machinery specialized for particular industries ;,1678,Exports
2022,72 Machinery specialized for particular industries ;,1911,Exports
2023,72 Machinery specialized for particular industries ;,2113,Exports
2024,72 Machinery specialized for particular industries ;,2355,Exports
2014,73 Metalworking machinery ;,189,Exports
2015,73 Metalworking machinery ;,160,Exports
2016,73 Metalworking machinery ;,161,Exports
2017,73 Metalworking machinery ;,188,Exports
2018,73 Metalworking machinery ;,275,Exports
2019,73 Metalworking machinery ;,192,Exports
2020,73 Metalworking machinery ;,138,Exports
2021,73 Metalworking machinery ;,175,Exports
2022,73 Metalworking machinery ;,260,Exports
2023,73 Metalworking machinery ;,272,Exports
2024,73 Metalworking machinery ;,287,Exports
2014,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",1978,Exports
2015,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2163,Exports
2016,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2269,Exports
2017,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2191,Exports
2018,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2296,Exports
2019,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2456,Exports
2020,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2164,Exports
2021,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2230,Exports
2022,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",2489,Exports
2023,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",3044,Exports
2024,"74 General industrial machinery and equipment, nes, and machine parts, nes ;",3128,Exports
2014,75 Office machines and automatic data processing machines ;,1531,Exports
2015,75 Office machines and automatic data processing machines ;,1756,Exports
2016,75 Office machines and automatic data processing machines ;,1542,Exports
2017,75 Office machines and automatic data processing machines ;,1226,Exports
2018,75 Office machines and automatic data processing machines ;,1284,Exports
2019,75 Office machines and automatic data processing machines ;,1410,Exports
2020,75 Office machines and automatic data processing machines ;,1300,Exports
2021,75 Office machines and automatic data processing machines ;,1376,Exports
2022,75 Office machines and automatic data processing machines ;,1545,Exports
2023,75 Office machines and automatic data processing machines ;,1489,Exports
2024,75 Office machines and automatic data processing machines ;,1582,Exports
2014,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,1347,Exports
2015,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,1704,Exports
2016,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,1752,Exports
2017,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2012,Exports
2018,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2008,Exports
2019,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2657,Exports
2020,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2251,Exports
2021,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2331,Exports
2022,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2337,Exports
2023,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2677,Exports
2024,76 Telecommunications and sound recording and reproducing apparatus and equipment ;,2928,Exports
2014,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",1544,Exports
2015,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",1646,Exports
2016,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",1691,Exports
2017,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",1847,Exports
2018,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",2078,Exports
2019,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",2131,Exports
2020,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",2006,Exports
2021,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",2227,Exports
2022,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",2692,Exports
2023,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",2954,Exports
2024,"77 Electrical machinery, apparatus and appliances, nes, and electrical parts thereof (incl. non electrical counterparts, nes, of electrical household type equipment) ;",3233,Exports
2014,78 Road vehicles (incl. air-cushion vehicles) ;,2996,Exports
2015,78 Road vehicles (incl. air-cushion vehicles) ;,3339,Exports
2016,78 Road vehicles (incl. air-cushion vehicles) ;,2940,Exports
2017,78 Road vehicles (incl. air-cushion vehicles) ;,2264,Exports
2018,78 Road vehicles (incl. air-cushion vehicles) ;,1693,Exports
2019,78 Road vehicles (incl. air-cushion vehicles) ;,1919,Exports
2020,78 Road vehicles (incl. air-cushion vehicles) ;,1598,Exports
2021,78 Road vehicles (incl. air-cushion vehicles) ;,1853,Exports
2022,78 Road vehicles (incl. air-cushion vehicles) ;,2013,Exports
2023,78 Road vehicles (incl. air-cushion vehicles) ;,2180,Exports
2024,78 Road vehicles (incl. air-cushion vehicles) ;,2281,Exports
2014,79 Transport equipment (excl. road vehicles) ;,2225,Exports
2015,79 Transport equipment (excl. road vehicles) ;,2331,Exports
2016,79 Transport equipment (excl. road vehicles) ;,2290,Exports
2017,79 Transport equipment (excl. road vehicles) ;,2283,Exports
2018,79 Transport equipment (excl. road vehicles) ;,2945,Exports
2019,79 Transport equipment (excl. road vehicles) ;,3208,Exports
2020,79 Transport equipment (excl. road vehicles) ;,2387,Exports
2021,79 Transport equipment (excl. road vehicles) ;,1988,Exports
2022,79 Transport equipment (excl. road vehicles) ;,2245,Exports
2023,79 Transport equipment (excl. road vehicles) ;,2574,Exports
2024,79 Transport equipment (excl. road vehicles) ;,3381,Exports
2014,8 Miscellaneous manufactured articles ;,5389,Exports
2015,8 Miscellaneous manufactured articles ;,6302,Exports
2016,8 Miscellaneous manufactured articles ;,6558,Exports
2017,8 Miscellaneous manufactured articles ;,6857,Exports
2018,8 Miscellaneous manufactured articles ;,7288,Exports
2019,8 Miscellaneous manufactured articles ;,8208,Exports
2020,8 Miscellaneous manufactured articles ;,7376,Exports
2021,8 Miscellaneous manufactured articles ;,8036,Exports
2022,8 Miscellaneous manufactured articles ;,9077,Exports
2023,8 Miscellaneous manufactured articles ;,10517,Exports
2024,8 Miscellaneous manufactured articles ;,11000,Exports
2014,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",146,Exports
2015,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",184,Exports
2016,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",136,Exports
2017,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",144,Exports
2018,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",162,Exports
2019,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",157,Exports
2020,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",161,Exports
2021,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",203,Exports
2022,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",175,Exports
2023,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",170,Exports
2024,"81 Prefabricated buildings and sanitary, plumbing, heating and lighting fixtures and fittings, nes ;",193,Exports
2014,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",100,Exports
2015,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",128,Exports
2016,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",133,Exports
2017,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",141,Exports
2018,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",152,Exports
2019,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",182,Exports
2020,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",136,Exports
2021,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",145,Exports
2022,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",166,Exports
2023,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",188,Exports
2024,"82 Furniture and parts thereof; bedding, mattresses, mattress supports, cushions and similar stuffed furnishings ;",170,Exports
2014,"83 Travel goods, handbags and similar containers ;",44,Exports
2015,"83 Travel goods, handbags and similar containers ;",45,Exports
2016,"83 Travel goods, handbags and similar containers ;",64,Exports
2017,"83 Travel goods, handbags and similar containers ;",70,Exports
2018,"83 Travel goods, handbags and similar containers ;",80,Exports
2019,"83 Travel goods, handbags and similar containers ;",94,Exports
2020,"83 Travel goods, handbags and similar containers ;",112,Exports
2021,"83 Travel goods, handbags and similar containers ;",116,Exports
2022,"83 Travel goods, handbags and similar containers ;",201,Exports
2023,"83 Travel goods, handbags and similar containers ;",188,Exports
2024,"83 Travel goods, handbags and similar containers ;",178,Exports
2014,84 Articles of apparel and clothing accessories ;,247,Exports
2015,84 Articles of apparel and clothing accessories ;,303,Exports
2016,84 Articles of apparel and clothing accessories ;,328,Exports
2017,84 Articles of apparel and clothing accessories ;,328,Exports
2018,84 Articles of apparel and clothing accessories ;,336,Exports
2019,84 Articles of apparel and clothing accessories ;,377,Exports
2020,84 Articles of apparel and clothing accessories ;,387,Exports
2021,84 Articles of apparel and clothing accessories ;,480,Exports
2022,84 Articles of apparel and clothing accessories ;,649,Exports
2023,84 Articles of apparel and clothing accessories ;,706,Exports
2024,84 Articles of apparel and clothing accessories ;,774,Exports
2014,85 Footwear ;,68,Exports
2015,85 Footwear ;,82,Exports
2016,85 Footwear ;,92,Exports
2017,85 Footwear ;,115,Exports
2018,85 Footwear ;,124,Exports
2019,85 Footwear ;,122,Exports
2020,85 Footwear ;,129,Exports
2021,85 Footwear ;,119,Exports
2022,85 Footwear ;,141,Exports
2023,85 Footwear ;,181,Exports
2024,85 Footwear ;,191,Exports
2014,"87 Professional, scientific and controlling instruments and apparatus, nes ;",2127,Exports
2015,"87 Professional, scientific and controlling instruments and apparatus, nes ;",2433,Exports
2016,"87 Professional, scientific and controlling instruments and apparatus, nes ;",2532,Exports
2017,"87 Professional, scientific and controlling instruments and apparatus, nes ;",2619,Exports
2018,"87 Professional, scientific and controlling instruments and apparatus, nes ;",2765,Exports
2019,"87 Professional, scientific and controlling instruments and apparatus, nes ;",3906,Exports
2020,"87 Professional, scientific and controlling instruments and apparatus, nes ;",3526,Exports
2021,"87 Professional, scientific and controlling instruments and apparatus, nes ;",3875,Exports
2022,"87 Professional, scientific and controlling instruments and apparatus, nes ;",4409,Exports
2023,"87 Professional, scientific and controlling instruments and apparatus, nes ;",4871,Exports
2024,"87 Professional, scientific and controlling instruments and apparatus, nes ;",4087,Exports
2014,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",286,Exports
2015,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",390,Exports
2016,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",409,Exports
2017,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",427,Exports
2018,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",440,Exports
2019,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",466,Exports
2020,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",432,Exports
2021,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",453,Exports
2022,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",506,Exports
2023,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",576,Exports
2024,"88 Photographic apparatus, equipment and supplies and optical goods, nes; watches and clocks ;",611,Exports
2014,"89 Miscellaneous manufactured articles, nes ;",2372,Exports
2015,"89 Miscellaneous manufactured articles, nes ;",2736,Exports
2016,"89 Miscellaneous manufactured articles, nes ;",2862,Exports
2017,"89 Miscellaneous manufactured articles, nes ;",3017,Exports
2018,"89 Miscellaneous manufactured articles, nes ;",3231,Exports
2019,"89 Miscellaneous manufactured articles, nes ;",2901,Exports
2020,"89 Miscellaneous manufactured articles, nes ;",2494,Exports
2021,"89 Miscellaneous manufactured articles, nes ;",2646,Exports
2022,"89 Miscellaneous manufactured articles, nes ;",2834,Exports
2023,"89 Miscellaneous manufactured articles, nes ;",3636,Exports
2024,"89 Miscellaneous manufactured articles, nes ;",4795,Exports
2014,9 Commodities and transactions not classified elsewhere in the SITC ;,21271,Exports
2015,9 Commodities and transactions not classified elsewhere in the SITC ;,22613,Exports
2016,9 Commodities and transactions not classified elsewhere in the SITC ;,27452,Exports
2017,9 Commodities and transactions not classified elsewhere in the SITC ;,25523,Exports
2018,9 Commodities and transactions not classified elsewhere in the SITC ;,25975,Exports
2019,9 Commodities and transactions not classified elsewhere in the SITC ;,30661,Exports
2020,9 Commodities and transactions not classified elsewhere in the SITC ;,34408,Exports
2021,9 Commodities and transactions not classified elsewhere in the SITC ;,36933,Exports
2022,9 Commodities and transactions not classified elsewhere in the SITC ;,39255,Exports
2023,9 Commodities and transactions not classified elsewhere in the SITC ;,41247,Exports
2024,9 Commodities and transactions not classified elsewhere in the SITC ;,45165,Exports
2014,93 Special transactions and commodities not classified according to kind ;,1292,Exports
2015,93 Special transactions and commodities not classified according to kind ;,1302,Exports
2016,93 Special transactions and commodities not classified according to kind ;,1563,Exports
2017,93 Special transactions and commodities not classified according to kind ;,1474,Exports
2018,93 Special transactions and commodities not classified according to kind ;,1371,Exports
2019,93 Special transactions and commodities not classified according to kind ;,1239,Exports
2020,93 Special transactions and commodities not classified according to kind ;,1063,Exports
2021,93 Special transactions and commodities not classified according to kind ;,1789,Exports
2022,93 Special transactions and commodities not classified according to kind ;,764,Exports
2023,93 Special transactions and commodities not classified according to kind ;,612,Exports
2024,93 Special transactions and commodities not classified according to kind ;,566,Exports
2014,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",710,Exports
2015,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",838,Exports
2016,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",989,Exports
2017,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",677,Exports
2018,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",814,Exports
2019,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",861,Exports
2020,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",1303,Exports
2021,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",2576,Exports
2022,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",3046,Exports
2023,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",2011,Exports
2024,"95 Gold coin whether or not legal tender, and other coin being legal tender ;",1340,Exports
2014,96 Coin (excl. gold coin) not being legal tender ;,1,Exports
2015,96 Coin (excl. gold coin) not being legal tender ;,5,Exports
2016,96 Coin (excl. gold coin) not being legal tender ;,1,Exports
2017,96 Coin (excl. gold coin) not being legal tender ;,1,Exports
2018,96 Coin (excl. gold coin) not being legal tender ;,0,Exports
2019,96 Coin (excl. gold coin) not being legal tender ;,0,Exports
2020,96 Coin (excl. gold coin) not being legal tender ;,2,Exports
2021,96 Coin (excl. gold coin) not being legal tender ;,2,Exports
2022,96 Coin (excl. gold coin) not being legal tender ;,9,Exports
2023,96 Coin (excl. gold coin) not being legal tender ;,11,Exports
2024,96 Coin (excl. gold coin) not being legal tender ;,23,Exports
2014,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",13459,Exports
2015,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",14504,Exports
2016,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",18857,Exports
2017,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",17620,Exports
2018,"97 Gold, non-monetary (excl. gold ores and concentrates) ;",19136,Exports
